row,date,City,Amount
944,20120430,Austin,77.7
945,20120501,Austin,77.0
946,20120502,Austin,77.9
947,20120503,Austin,79.1
948,20120504,Austin,80.1
949,20120505,Austin,82.1
950,20120506,Austin,79.0
951,20120507,Austin,79.8
952,20120508,Austin,70.0
953,20120509,Austin,69.8
954,20120510,Austin,71.3
955,20120511,Austin,69.4
956,20120512,Austin,72.0
957,20120513,Austin,72.4
958,20120514,Austin,72.5
959,20120515,Austin,67.6
960,20120516,Austin,69.0
961,20120517,Austin,72.7
962,20120518,Austin,73.7
963,20120519,Austin,77.5
964,20120520,Austin,75.8
965,20120521,Austin,76.9
966,20120522,Austin,78.8
967,20120523,Austin,77.7
968,20120524,Austin,80.6
969,20120525,Austin,81.4
970,20120526,Austin,82.3
971,20120527,Austin,80.3
972,20120528,Austin,80.3
973,20120529,Austin,82.2
974,20120530,Austin,81.9
975,20120531,Austin,82.4
976,20120601,Austin,77.9
977,20120602,Austin,81.1
978,20120603,Austin,82.2
979,20120604,Austin,81.2
980,20120605,Austin,83.0
981,20120606,Austin,83.2
982,20120607,Austin,82.1
983,20120608,Austin,77.5
984,20120609,Austin,77.9
985,20120610,Austin,82.9
986,20120611,Austin,86.8
987,20120612,Austin,85.3
988,20120613,Austin,76.9
989,20120614,Austin,84.5
990,20120615,Austin,84.4
991,20120616,Austin,83.8
992,20120617,Austin,82.5
993,20120618,Austin,82.9
994,20120619,Austin,82.5
995,20120620,Austin,81.3
996,20120621,Austin,80.8
997,20120622,Austin,81.7
998,20120623,Austin,83.9
999,20120624,Austin,85.5
1000,20120625,Austin,87.2
1001,20120626,Austin,88.0
1002,20120627,Austin,89.6
1003,20120628,Austin,86.7
1004,20120629,Austin,85.3
1005,20120630,Austin,81.7
1006,20120701,Austin,78.5
1007,20120702,Austin,83.1
1008,20120703,Austin,83.1
1009,20120704,Austin,84.5
1010,20120705,Austin,84.6
1011,20120706,Austin,84.2
1012,20120707,Austin,86.7
1013,20120708,Austin,84.3
1014,20120709,Austin,83.7
1015,20120710,Austin,77.1
1016,20120711,Austin,77.4
1017,20120712,Austin,80.6
1018,20120713,Austin,81.4
1019,20120714,Austin,80.2
1020,20120715,Austin,81.8
1021,20120716,Austin,77.3
1022,20120717,Austin,80.8
1023,20120718,Austin,81.6
1024,20120719,Austin,80.9
1025,20120720,Austin,83.9
1026,20120721,Austin,85.6
1027,20120722,Austin,83.6
1028,20120723,Austin,84.0
1029,20120724,Austin,83.0
1030,20120725,Austin,84.8
1031,20120726,Austin,84.4
1032,20120727,Austin,84.3
1033,20120728,Austin,83.9
1034,20120729,Austin,85.0
1035,20120730,Austin,84.9
1036,20120731,Austin,86.3
1037,20120801,Austin,86.5
1038,20120802,Austin,85.8
1039,20120803,Austin,85.3
1040,20120804,Austin,86.0
1041,20120805,Austin,84.2
1042,20120806,Austin,81.9
1043,20120807,Austin,86.5
1044,20120808,Austin,86.1
1045,20120809,Austin,86.8
1046,20120810,Austin,88.0
1047,20120811,Austin,85.1
1048,20120812,Austin,87.4
1049,20120813,Austin,88.0
1050,20120814,Austin,88.0
1051,20120815,Austin,87.2
1052,20120816,Austin,86.1
1053,20120817,Austin,86.8
1054,20120818,Austin,84.9
1055,20120819,Austin,76.8
1056,20120820,Austin,80.6
1057,20120821,Austin,80.0
1058,20120822,Austin,78.2
1059,20120823,Austin,79.1
1060,20120824,Austin,81.9
1061,20120825,Austin,84.7
1062,20120826,Austin,83.5
1063,20120827,Austin,82.1
1064,20120828,Austin,84.0
1065,20120829,Austin,85.7
1066,20120830,Austin,87.2
1067,20120831,Austin,82.9
1068,20120901,Austin,84.8
1069,20120902,Austin,83.9
1070,20120903,Austin,85.5
1071,20120904,Austin,86.4
1072,20120905,Austin,85.8
1073,20120906,Austin,85.4
1074,20120907,Austin,85.3
1075,20120908,Austin,81.9
1076,20120909,Austin,74.8
1077,20120910,Austin,71.6
1078,20120911,Austin,75.9
1079,20120912,Austin,82.1
1080,20120913,Austin,80.5
1081,20120914,Austin,70.0
1082,20120915,Austin,71.2
1083,20120916,Austin,70.3
1084,20120917,Austin,72.1
1085,20120918,Austin,73.7
1086,20120919,Austin,72.7
1087,20120920,Austin,71.7
1088,20120921,Austin,72.9
1089,20120922,Austin,73.1
1090,20120923,Austin,75.6
1091,20120924,Austin,78.3
1092,20120925,Austin,78.3
1093,20120926,Austin,79.6
1094,20120927,Austin,76.4
1095,20120928,Austin,77.2
1096,20120929,Austin,75.2
1097,20120930,Austin,71.9
